How Late it Was, How Late;James Kelman;State of the nation
The Rainbow;DH Lawrence;Love
Julie, ou la Nouvelle Heloise;Jean-Jacques Rousseau;Family and self
All Quiet on the Western Front;Erich Maria Remarque;War and travel
The Polygots;William Gerhardie;Comedy
Les Liaisons Dangereuses;Pierre-Ambroise-Francois Choderlos de Laclos;Love
Thank You Jeeves;PG Wodehouse;Comedy
A Glastonbury Romance;John Cowper Powys;Science fiction and fantasy
To the Lighthouse;Virginia Woolf;Family and self
Vendetta;Michael Dibdin;Crime
Cheese;Willem Elsschot;Comedy
The Painter of Signs;RK Narayan;Love
The Private Memoirs and Confessions of a Justified Sinner;James Hogg;Science fiction and fantasy
A Princess of Mars;Edgar Rice Burroughs;Science fiction and fantasy
A Fatal inversion;Barbara Vine;Crime
The Egoist;George Meredith;Love
My Family and Other Animals;Gerald Durrell;Family and self
A Thousand Acres;Jane Smiley;Family and self
A Farewell to Arms;Ernest Hemingway;Love
All Souls Day;Cees Nooteboom;Love
The Last Chronicle of Barset;Anthony Trollope;State of the nation
Harry Potter and the Philosopher’s Stone;JK Rowling;Science fiction and fantasy
A Connecticut Yankee in King Arthur’s Court;Mark Twain;Science fiction and fantasy
Cheri;Sidonie-Gabrielle Collette;Love
Master and Commander;Patrick O’Brian;War and travel
Trent’s Last Case;EC Bentley;Crime
Crome Yellow;Aldous Huxley;Love
Zorba the Greek;Nikos Kazantzakis;Love
The Time of Indifference;Alberto Moravia;State of the nation
The Hobbit;JRR Tolkien;Science fiction and fantasy
Angel;Elizabeth Taylor;Family and self
The Mysterious Stranger;Mark Twain;Comedy
Pig Tales;Marie Darrieussecq;Science fiction and fantasy
A Tale of Two Cities;Charles Dickens;State of the nation
Tales of the South Pacific;James Michener;War and travel
Earthly Powers;Anthony Burgess;State of the nation
Billy Liar;Keith Waterhouse;State of the nation
Justine;Lawrence Durrell;War and travel
Only Forward;Michael Marshall Smith;Science fiction and fantasy
Robinson Crusoe;Daniel Defoe;War and travel
Middlesex;Jeffrey Eugenides;Family and self
East Lynne;Ellen Wood;Love
The Amazing Adventures of Kavalier and Clay;Michael Chabon;Science fiction and fantasy
The Return of the Soldier;Rebecca West;State of the nation
Schindler’s Ark;Thomas Keneally;War and travel
Living;Henry Green;Love
Atonement;Ian McEwan;Love
Eugenie Grandet;Honore de Balzac;Family and self
Novel on Yellow Paper;Stevie Smith;State of the nation
Journey to the End of the Night;Louis-Ferdinand Celine;War and travel
Joy in the Morning;PG Wodehouse;Comedy
Poetic Justice;Amanda Cross;Crime
A Portrait of the Artist as a Young Man;James Joyce;Family and self
Handley Cross;RS Surtees;Comedy
Sentimental Education;Gustave Flaubert;State of the nation
The Devil to Pay in the Backlands;Joao Guimaraes Rosa;War and travel
Lord of the Flies;William Golding;Science fiction and fantasy
The Immoralist;Andre Gide;Family and self
The Caine Mutiny;Herman Wouk;War and travel
The Soldier’s Art;Anthony Powell;War and travel
Daniel Deronda;George Eliot;Love
The Face of Another;Kobo Abe;Family and self
Disgrace;JM Coetzee;State of the nation
Oranges Are Not the Only Fruit;Jeanette Winterson;Family and self
Zuleika Dobson;Max Beerbohm;Comedy
The Earthsea Series;Ursula Le Guin;Science fiction and fantasy
Lush Life;Richard Price;Crime
The Restraint of Beasts;Magnus Mills;Comedy
Hurrah for St Trinian’s;Ronald Searle;Comedy
Office Politics;Wilfrid Sheed;Comedy
The Far Pavillions;Mary Margaret Kaye;Love
American Psycho;Bret Easton Ellis;Crime
Black and Blue;Ian Rankin;Crime
Molesworth;Geoffrey Willans and Ronald Searle;Comedy
Double Indemnity;James M Cain;Crime
The Driver’s Seat;Muriel Spark;Comedy
The Heat of the Day;Elizabeth Bowen;Love
The Silent Duchess;Dacia Maraini;Love
Anthills of the Savannah;Chinua Achebe;State of the nation
The Valley of Bones;Anthony Powell;War and travel
Black Mischief;Evelyn Waugh;Comedy
Murder Must Advertise;Dorothy Le Sayers;Crime
The Sign of Four;Arthur Conan Doyle;Crime
Porterhouse Blue;Tom Sharpe;Comedy
A Dance to the Music of Time;Anthony Powell;Comedy
Love on the Dole;Walter Greenwood;State of the nation
A Tale of a Tub;Jonathan Swift;Comedy
No Orchids for Miss Blandish;James Hadley Chase;Crime
The Fountain Overflows;Rebecca West;Family and self
So Long, See you Tomorrow;William Maxwell;Love
Green Mansions: A Romance of the Tropical Forest;WH Hudson;Love
Regency Buck;Georgette Heyer;Love
Cry, the Beloved Country;Alan Paton;State of the nation
Burmese Days;George Orwell;War and travel
Erewhon;Samuel Butler;Science fiction and fantasy
Childhood’s End;Arthur C Clarke;Science fiction and fantasy
The Friends of Eddie Coyle;George V Higgins;Crime
Roxana;Daniel Defoe;Family and self
Cold Comfort Farm;Stella Gibbons;Comedy
Cold Mountain;Charles Frazier;War and travel
The Bonfire of the Vanities;Tom Wolfe;State of the nation
The Remorseful Day;Colin Dexter;Crime
Silence of the Grave;Arnadur Indridason;Crime
Three Men in a Boat;Jerome K Jerome;Comedy
De Niro’s Game;Rawi Hage;War and travel
God’s Bit of Wood;Ousmane Sembene;State of the nation
Slaughter-House Five;Kurt Vonnegut;War and travel
The Time Traveler’s Wife;Audrey Niffenegger;Science fiction and fantasy
Mr Blandings Builds His Dream House;Eric Hodgkins;Comedy
Catch-22;Joseph Heller;Comedy
Air;Geoff Ryman;Science fiction and fantasy
Jude the Obscure;Thomas Hardy;Love
Things Fall Apart;Chinua Achebe;State of the nation
The Shining;Stephen King;Science fiction and fantasy
Jurassic Park;Michael Crichton;Crime
Les Revenentes;Georges Perec;Comedy
Finnegans Wake;James Joyce;Comedy
Our Man in Havana;Graham Greene;Comedy
The Wind in the Willows;Kenneth Grahame;Comedy
The Princess of Cleves;Madame de Lafayette;Love
The Moon and the Bonfire;Cesare Pavese;State of the nation
The Children of Men;PD James;Science fiction and fantasy
Lonesome Dove;Larry McMurty;War and travel
The Hound of the Baskervilles;Arthur Conan Doyle;Crime
The Little World of Don Camillo;Giovanni Guareschi;Comedy
A Time to Kill;John Grisham;Crime
The Moviegoer;Walker Percy;Family and self
Last Seen Wearing;Colin Dexter;Crime
Animal Farm;George Orwell;State of the nation
The Luck of Barry Lyndon;William Makepeace Thackeray;Comedy
The Siege of Krishnapur;JG Farrell;War and travel
The Old Man and the Sea;Ernest Hemingway;Family and self
Zazie in the Metro;Raymond Queneau;Comedy
The Machine-Gunners;Robert Westall;War and travel
White Man Falling;Mike Stocks;Comedy
The Murder of Roger Ackroyd;Agatha Christie;Crime
Red Shift;Alan Garner;Science fiction and fantasy
Misery;Stephen King;Crime
The Scar;China Mieville;Science fiction and fantasy
Satanic Verses;Salman Rushdie;Science fiction and fantasy
One of Ours;Willa Cather;War and travel
The Unbearable Lightness of Being;Milan Kundera;Love
Peace in War;Miguel de Unamuno;Family and self
Last Exit to Brooklyn;Hubert Selby Jr;State of the nation
The Night Watch;Sarah Waters;Love
Diary of a Nobody;George Grossmith;Comedy
Richshaw Boy;Lao She;State of the nation
At Grand Central Station I Sat Down and Wept;Elizabeth Smart;Love
The Book of Daniel;EL Doctorow;State of the nation
Flowers for Algernon;Daniel Keyes;Science fiction and fantasy
La Vie Mode d’Emploi;Georges Perec;Comedy
The Hanging Gardens;Ian Rankin;Crime
The Member of the Wedding;Carson McCullers;Family and self
Saturday Night and Sunday Morning;Alan Sillitoe;State of the nation
Love in the Time of Cholera;Gabriel Garcia Marquez;Love
The Betrothed;Alessandro Manzoni;State of the nation
The Rings of Saturn;WG Sebald;War and travel
Lorna Doone;RD Blackmore;Love
Breakfast of Champions;Kurt Vonnegut;Comedy
Teach Us to Outgrow Our Madness;Kezaburo Oe;Family and self
A Prayer for Owen Meany;John Irving;Family and self
Being Dead;Jim Crace;Family and self
Fight Club;Chuck Palahniuk;Science fiction and fantasy
Silver Stallion;Junghyo Ahn;War and travel
Uncle Silas;Joseph Sheridan Le Fanu;Science fiction and fantasy
Play It As It Lays;Joan Didion;State of the nation
The Sound of my Voice;Ron Butlin;Family and self
Andersonville;MacKinlay Kantor;War and travel
Fathers and Sons;Ivan Turgenev;Family and self
Just William;Richmal Crompton;Comedy
History;Elsa Morante;War and travel
Under the Skin;Michel Faber;Science fiction and fantasy
Spies;Michael Frayn;Family and self
The Radetzky March;Joseph Roth;State of the nation
Lolly Willowes;Sylvia Townsend Warner;Science fiction and fantasy
Motherless Brooklyn;Jonathan Lethem;Crime
The Beast Must Die;Nicholas Blake;Crime
The Awakening;Kate Chopin;Family and self
The Adventures of Tom Sawyer;Mark Twain;State of the nation
Sophie’s Choice;William Styron;War and travel
The Scarlet Letter;Nathaniel Hawthorne;Love
The Years of Rice and Salt;Kim Stanley Robinson;Science fiction and fantasy
Clarissa;Samuel Richardson;Love
A Lost Lady;Willa Cather;Love
Personality;Andrew O’Hagan;State of the nation
Around the World in Eighty Days;Jules Verne;War and travel
A Fairy Tale of New York;JP Donleavy;Comedy
Shirley;Charlotte Bronte;State of the nation
Darkness Falls from the Air;Nigel Balchin;War and travel
The Bamboo Bed;William Eastlake;War and travel
The Posthumous Memoirs of Bras Cubas;Joaquim Maria Machado de Assis;State of the nation
The Castle;Franz Kafka;Comedy
Of Mice and Men;John Steinbeck;Crime
The Ragazzi Pier;Paolo Pasolini;State of the nation
Travels with My Aunt;Graham Greene;Comedy
Greenmantle;John Buchan;Crime
The Graduate;Charles Webb;Love
Nostromo;Joseph Conrad;War and travel
Waiting for the Barbarians;JM Coeztee;State of the nation
The Young Lions;Irwin Shaw;War and travel
The Man Who Loved Children;Christina Stead;Family and self
The Charterhouse of Parma;Stendhal;War and travel
Puckoon;Spike Milligan;Comedy
Staying On;Paul Scott;State of the nation
Fireflies;Shiva Naipaul;Comedy
The Invisible Man;Ralph Ellison;State of the nation
The Day of the Locust;Nathanael West;State of the nation
The Adventures of Ferdinand Count Fathom;Tobias Smollett;Comedy
Illywhacker;Peter Carey;Comedy
The Tin Roof Blowdown;James Lee Burke;Crime
Notes from the Underground;Fyodor Dostoevsky;State of the nation
Rogue Moon;Algis Budrys;Science fiction and fantasy
Stranger in a Strange Land;Robert A Heinlein;Science fiction and fantasy
Naked Lunch;William Burroughs;Science fiction and fantasy
Three Soldiers;John Dos Passos;War and travel
Great Expectations;Charles Dickens;Family and self
Scoop;Evelyn Waugh;Comedy
The Secret History;Donna Tartt;Crime
The Magus;John Fowles;Science fiction and fantasy
Microserfs;Douglas Coupland;State of the nation
The League of Frightened Men;Rex Stout;Crime
The Power and the Glory;Graham Greene;Family and self
Something Fresh;PG Wodehouse;Comedy
The Good Soldier Svejk;Jaroslav Hasek;War and travel
A Dark-Adapted Eye;Barbara Vine;Crime
On Beauty;Zadie Smith;Family and self
What a Carve Up!;Jonathan Coe;State of the nation
Jacques the Fatalist and his Master;Denis Diderot;Comedy
The Red Badge of Courage;Stephen Crane;War and travel
The Debt to Pleasure;John Lanchester;Comedy
Ruth;Elizabeth Gaskell;Love
The Hitchhikers Guide to the Galaxy;Douglas Adams;Science fiction and fantasy
The New York Trilogy;Paul Auster;Crime
The Road;Cormac McCarthy;Science fiction and fantasy
A Legacy;Sybille Bedford;Family and self
You Only Live Twice;Ian Fleming;Crime
Sons and Lovers;DH Lawrence;Family and self
Alice’s Adventures in Wonderland;Lewis Carroll;Science fiction and fantasy
Mother;Maxim Gorky;State of the nation
The Bluest Eye;Toni Morrison;Family and self
Master Georgie;Beryl Bainbridge;War and travel
Patience and Sarah;Isabel Miller;Love
As I Lay Dying;William Faulkner;Family and self
The Picture of Dorian Gray;Oscar Wilde;Family and self
The Glass Bead Game;Herman Hesse;Science fiction and fantasy
The Red Room;August Stringberg;State of the nation
Behind the Scenes at the Museum;Kate Atkinson;Family and self
Sister Carrie;Theodor Dreiser;State of the nation
Portrait of a Lady;Henry James;Love
Rogue Male;Geoffrey Household;Crime
Washington Square;Henry James;Family and self
Sirens of Titan;Kurt Vonnegut;Science fiction and fantasy
Mother London;Michael Moorcock;Science fiction and fantasy
The Hollow Man;John Dickson Carr;Crime
The Case of Comrade Tulayev;Victor Serge;State of the nation
The Turn of the Screw;Henry James;Science fiction and fantasy
Squire Haggard’s Journal;Michael Green;Comedy
Vurt;Jeff Noon;Science fiction and fantasy
Malice Aforethought;Francis Iles;Crime
White Noise;Don DeLillo;State of the nation
The Drowned World;JG Ballard;Science fiction and fantasy
Belles Lettres Papers: A Novel;Charles Simmons;Comedy
The Great Gatsby;F Scott Fitzgerald;Love
Parade’s End;Ford Madox Ford;War and travel
The Bourne Identity;Robert Ludlum;Crime
Voss;Patrick White;War and travel
South Riding;Winifred Holtby;State of the nation
I Served the King of England;Bohumil Hrabal;Comedy
The Little Prince;Antoine de Saint-Exupery;Science fiction and fantasy
A Town Like Alice;Nevil Shute;War and travel
Arturo’s Island;Elsa Morante;Love
Live Flesh;Ruth Rendell;Crime
Black Sunday;Thomas Harris;Crime
The Code of the Woosters;PG Wodehouse;Comedy
A Quiet Belief in Angels;RJ Ellory;Crime
A Suitable Boy;Vikram Seth;Family and self
The Plague;Albert Camus;State of the nation
The Crime of Father Amaro;José Maria de Eça de Queiroz;Crime
The Hearing Trumpet;Leonora Carrington;Comedy
Fun Home;Alison Bechdel;Family and self
Tom Brown’s Schooldays;Thomas Hughes;Family and self
Non-Stop;Brian W Aldiss;Science fiction and fantasy
A High Wind in Jamaica;Richard Hughes;War and travel
Kindred;Octavia Butler;Science fiction and fantasy
Sacaramouche;Rafael Sabatini;War and travel
The Glass Key;Dashiell Hammett;Crime
Brighton Rock;Graham Greene;Crime
True History of the Ned Kelly Gang;Peter Carey;Crime
The Day of the Jackal;Frederick Forsyth;Crime
Kidnapped;Robert Louis Stevenson;War and travel
Look At Me;Anita Brookner;Love
GB84;David Peace;State of the nation
Germinal;Emile Zola;State of the nation
The Maltese Falcon;Dashiell Hammett;Crime
Pale Fire;Vladimir Nabokov;Comedy
The War of the Worlds;HG Wells;Science fiction and fantasy
Elmer Gantry;Sinclair Lewis;State of the nation
To Kill a Mockingbird;Harper Lee;Crime
Of Love & Hunger;Julian Maclaren-Ross;State of the nation
Cranford;Elizabeth Gaskell;State of the nation
Enigma;Robert Harris;War and travel
The Discworld Series;Terry Pratchett;Science fiction and fantasy
The Man in the High Castle;Philip K Dick;Science fiction and fantasy
The Crying of Lot 49;Thomas Pynchon;Crime
The Passion;Jeanette Winterson;Love
Shame;Salman Rushdie;State of the nation
On the Road;Jack Kerouac;War and travel
Ada or Ardor;Vladimir Nabokov;Science fiction and fantasy
The Ministry of Fear;Graham Greene;Crime
The Chronicles of Narnia;CS Lewis;Science fiction and fantasy
Light Years;James Salter;Love
A Canticle for Leibowitz;Walter M Miller Jr;Science fiction and fantasy
The Strange Borders of Palace Crescent;E Phillips Oppenheim;Crime
Fahrenheit 451;Ray Bradbury;Science fiction and fantasy
The Information;Martin Amis;Comedy
Death in Summer;William Trevor;Family and self
A Month in the Country;JL Carr;Love
Independence Day;Richard Ford;State of the nation
The Naked and the Dead;Norman Mailer;War and travel
The Adventures of Huckleberry Finn;Mark Twain;War and travel
The French Lieutenant’s Woman;John Fowles;Love
The Secret Adversary;Agatha Christie;Crime
The Woodlanders;Thomas Hardy;Love
The L Shaped Room;Lynne Reid Banks;Family and self
The Towers of Trebizond;Rose Macaulay;Comedy
Oblomov;Ivan Goncharov;Comedy
Midnight’s Children;Salman Rushdie;State of the nation
The Professor’s House;Willa Cather;Family and self
Do Androids Dream of Electric Sheep?;Philip K Dick;Science fiction and fantasy
From Here to Eternity;James Jones;War and travel
Room at the Top;John Braine;State of the nation
A History of the World in 10 1/2 Chapters;Julian Barnes;Comedy
Brewster’s Millions;Richard Greaves (George Barr McCutcheon);Comedy
Pictures from an Institution;Randall Jarrell;Comedy
Lake Wobegon Days;Garrison Keillor;Comedy
The Sound and the Fury;William Faulkner;Family and self
Zen and the Art of Motorcycle Maintenance;Robert Pirsig;War and travel
Day;AL Kennedy;War and travel
Trainspotting;Irvine Welsh;State of the nation
The Thirty-Nine Steps;John Buchan;Crime
Swiss Family Robinson;Johann David Wyss;Family and self
Main Street;Sinclair Lewis;State of the nation
Foundation;Isaac Asimov;Science fiction and fantasy
Dirty Tricks;Michael Dibdin;Crime
The Prisoner of Zenda;Anthony Hope;War and travel
Victory: An Island Tale;Joseph Conrad;Love
Palace Walk;Naguib Mahfouz;Family and self
Augustus Carp, Esq.Himself: Being the Autobiography of a Really Good Man;Henry Howarth Bashford;Comedy
One Day in the Life of Ivan Denisovtich;Alexandr Solzhenitsyn;State of the nation
A Fine Balance;Rohinton Mistry;State of the nation
Silas Marner;George Eliot;State of the nation
The House of Mirth;Edith Wharton;State of the nation
The Einstein Intersection;Samuel R Delaney;Science fiction and fantasy
Postmortem;Patricia Cornwell;Crime
Tintin in Tibet;Georges Remi Herge;War and travel
Bel-Ami;Guy de Maupassant;State of the nation
Red Harvest;Dashiell Hammett;Crime
Before Lunch;Angela Thirkell;Comedy
The Man Without Qualities;Robert Musil;Family and self
Babbitt;Sinclair Lewis;State of the nation
The Tree of Man;Patrick White;Family and self
Good Behaviour;Molly Keane;Family and self
Madame Bovary;Gustave Flaubert;Love
Norwegian Wood;Haruki Murakami;Love
Ingenious Pain;Andrew Miller;Science fiction and fantasy
Caprice;Ronald Firbank;Comedy
Oroonoko, or The Royal Slave;Aphra Behn;State of the nation
Frost in May;Antonia White;Family and self
Ulysses;James Joyce;Family and self
The Cruel Sea;Nicholas Monsarrat;War and travel
Le Grand Meaulnes;Henri Alain-Fournier;Love
Hello Summer, Goodbye;Michael G Coney;Science fiction and fantasy
Unless;Carol Shields;Family and self
Lark Rise to Candleford;Flora Thompson;Family and self
The Kingdom of this World;Alejo Carpentier;State of the nation
Fatherland;Robert Harris;Crime
Darwin’s Radio;Greg Bear;Science fiction and fantasy
House of Leaves;Mark Danielewski;Science fiction and fantasy
Martin Eden;Jack London;Family and self
The Blind Assassin;Margaret Atwood;Science fiction and fantasy
Tobacco Road;Erskine Caldwell;State of the nation
Alberta and Jacob;Cora Sandel;Family and self
Dead Souls;Nikolai Gogol;Comedy
Blott on the Landscape;Tom Sharpe;Comedy
East of Eden;John Steinbeck;Family and self
Death of a Hero;Richard Aldington;War and travel
The Name of the Rose;Umberto Eco;Crime
The Mask of Dimitrios;Eric Ambler;Crime
Solomon Gursky Was Here;Mordecai Richler;Comedy
Sanctuary;William Faulkner;Crime
The Loved One;Evelyn Waugh;Comedy
A Far Cry from Kensington;Muriel Spark;Comedy
The Man who was Thursday;GK Chesterton;Science fiction and fantasy
